date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:11	134218/134218	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Oct%202023%2015:21:11%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/index.html	(from )
17:55:11	10145/10145	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2012:25:10%20GMT	https://metaverse.tech2edge.co/robots.txt		(from )
17:55:14	162697/162697	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20Oct%202023%2005:35:20%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/onsenui2.min.css	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/onsenui2.min.css	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:17	5192/5192	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2017:33:47%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/PTlogoresize.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/PTlogoresize.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:17	35654/35654	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202023%2015:20:47%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/style.css?v=1.1	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/stylef9e3.css	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:17	4986/4986	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2017:33:47%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/rivalogoresized.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/rivalogoresized.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:18	1724/1724	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2014%20Oct%202023%2017:33:46%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/cart-trolley-shape.svg	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/cart-trolley-shape.svg	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:18	481/481	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2014%20Oct%202023%2017:33:48%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/wishlist-heart-shape.svg	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/wishlist-heart-shape.svg	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:18	297088/297088	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2015%20Oct%202023%2005:36:20%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/js/onsenui.min.js	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/js/onsenui.min.js	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:27	232455/232455	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:46:53%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/earing-category-full.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/earing-category-full.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:30	154839/154839	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:46:53%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/portrait-girl-h396.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/portrait-girl-h396.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:33	85041/85041	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:46:53%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/pendants-category-full.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/pendants-category-full.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:34	421755/421755	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Oct%202023%2005:48:29%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/background-1.jpeg	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/background-1.jpg	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:34	186565/186565	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:48:29%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/bracelets-category-full.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/bracelets-category-full.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:36	103331/103331	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:46:53%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/necklace-category-full.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/necklace-category-full.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:37	31412/31412	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2012:25:36%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/category-earring.html	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/category-earring.f.delayed	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:38	435046/435046	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:46:53%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/Ring-category-full.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/Ring-category-full.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:39	31412/31412	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2012:25:37%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/product-page.html	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/product-page.html	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
